625,CAF213,493799.5591,5180830.549,Thatuna,2R,117,135,1.71,5.96,5
2,CAF003,493383.1071,5180586.081,Naff,A,21,39,1.37,5.9,2
7,CAF005,493446.9111,5180572.12,Palouse,A,17,42,1.33,5.73,2
12,CAF007,493510.7264,5180568.273,Palouse,A,26,66,1.27,6.16,2
17,CAF009,493574.5508,5180572.871,Palouse,A,20,47,1.4,5.64,2
22,CAF011,493638.3683,5180571.025,Palouse,A,24,44,1.37,5.95,2
27,CAF013,493702.2,5180582.737,Naff,A,20,48,1.5,5.47,2
32,CAF015,493797.9223,5180576.303,Latah,A,13,40,1.31,5.74,2
43,CAF019,493246.5977,5180590.191,Latah,A,24,48,1.56,5.75,2
50,CAF021,493309.2174,5180591.83,Staley,A,13,25,1.45,5.21,2
56,CAF023,493371.4556,5180609.627,Palouse,A,13,37,1.46,,2
99,CAF037,493819.788,5180608.062,Latah,A,14,26.5,1.5,5.9,2
106,CAF039,493883.6204,5180621.22,Latah,A,17,38,1.53,6.67,2
112,CAF041,493947.432,5180613.932,Palouse,A,11,27,1.23,5.04,2
147,CAF053,493577.0617,5180636.431,Palouse,A,16,39,1.04,5.63,2
153,CAF055,493640.8785,5180634.585,Palouse,A,17,46,1.32,5.95,2
163,CAF059,493770.7974,5180636.942,Palouse,A,17,38,1.22,5.33,2
169,CAF061,493832.3237,5180623.828,Naff,A,15,32,1.41,5.85,2
177,CAF063,493896.169,5180649.766,Naff,A,15,41,1.19,5.43,2
183,CAF065,493959.9746,5180636.922,Thatuna,A,16,33,1.21,5.92,2
203,CAF071,493360.3768,5180672.003,Staley,A,13,24,1.52,5.5,2
209,CAF073,493421.8027,5180680.044,Staley,A,10,25,1.35,,2
223,CAF077,493551.8335,5180673.461,Palouse,A,18,35,1.17,5.56,2
236,CAF081,493679.4708,5180673.992,Thatuna,A,10,34,1.21,5.15,2
248,CAF085,493807.105,5180671.637,Palouse,A,12,31,1.32,5.19,2
254,CAF087,493870.9368,5180684.795,Naff,A,15,46,1.35,5.37,2
278,CAF095,493276.7264,5180689.078,Latah,A,10,31,1.53,4.82,2
286,CAF097,493339.9564,5180706.363,Thatuna,A,12,37,1.44,5,2
293,CAF099,493403.7819,5180713.182,Staley,A,18,33,1.41,5.43,2
301,CAF101,493467.5846,5180699.222,Palouse,A,16,43,1.22,5.75,2
314,CAF105,493595.2216,5180699.973,Thatuna,A,20,43,1.32,5.74,2
321,CAF107,493659.0377,5180698.127,Thatuna,A,23,51.5,1.6,5.81,2
328,CAF109,493725.5766,5180706.699,Thatuna,A,30,68,1.27,6.15,2
334,CAF111,493786.6792,5180703.217,Naff,A,23,42,1.46,6.03,2
341,CAF113,493851.8467,5180685.551,Naff,A,17.5,45,1.35,5.86,2
347,CAF115,493915.6912,5180711.488,Naff,A,22,43,1.38,6.07,2
359,CAF119,494044.2265,5180700.47,Naff,A,20,47,1.23,5.89,2
366,CAF121,494105.7794,5180713.451,Naff,A,20,47,1.52,,2
379,CAF125,493401.0687,5180744.966,Thatuna,A,16,45,1.31,5.51,2
385,CAF127,493466.0706,5180730.206,Staley,A,26,49.5,1.31,5.93,2
390,CAF129,493528.6847,5180727.158,Thatuna,A,23,36.5,1.19,6.09,2
402,CAF133,493656.3232,5180729.911,Thatuna,A,28,49,1.37,5.45,2
420,CAF139,493847.7654,5180719.155,Naff,A,21,37,1.56,5.95,2
438,CAF145,494039.2338,5180734.075,Naff,A,14,32,1.46,5.58,2
450,CAF149,493350.8639,5180767.357,Palouse,A,16,34,1.36,4.79,2
456,CAF151,493417.8866,5180770.999,Palouse,A,15,43,1.36,5.31,2
461,CAF153,493478.5079,5180775.884,Palouse,A,18,46,1.17,,2
466,CAF155,493542.3175,5180768.814,Thatuna,A,20,49,1.49,6.11,2
482,CAF161,493733.7514,5180751.388,Thatuna,A,23,65,1.19,5.64,2
493,CAF165,493861.4158,5180780.147,Palouse,A,25,60,1.6,6.29,2
504,CAF169,493989.0354,5180765.35,Naff,A,20,56,1.41,6.18,2
526,CAF177,493431.822,5180805.16,Palouse,A,19,34,1.48,5.95,2
531,CAF179,493495.6416,5180807.646,Thatuna,A,20,34,1.24,,2
543,CAF183,493623.2698,5180802.287,Palouse,A,19,43,1.25,5.65,2
548,CAF185,493687.0856,5180801.108,Thatuna,A,18,40,1.38,5.22,2
560,CAF189,493814.7171,5180798.753,Palouse,A,13,31,1.31,5.21,2
571,CAF195,494006.1666,5180797.114,Palouse,A,17,45,1.29,5.54,2
577,CAF197,494069.9772,5180790.605,Palouse,A,23,45,1.49,6.09,2
583,CAF199,494133.7875,5180783.653,Thatuna,A,34,52,1.5,5.79,3
605,CAF207,493606.5134,5180835.683,Palouse,A,12,46,1.31,5.6,2
611,CAF209,493671.9282,5180832.905,Naff,A,20,48,1.43,5.93,2
622,CAF213,493799.5591,5180830.549,Thatuna,A,24,55,1.41,5.53,2
634,CAF217,493927.1984,5180836.419,Palouse,A,17,38,1.26,5.53,2
671,CAF231,493604.0934,5180858.868,Palouse,A,28,48,1.65,6.28,3
676,CAF233,493667.9079,5180857.023,Staley,A,24,46,1.14,6.35,2
681,CAF235,493731.7365,5180868.735,Palouse,A,20,41,1.27,5.84,2
691,CAF239,493858.4356,5180848.088,Palouse,A,14,35,1.39,4.71,2
737,CAF255,493637.0257,5180888.836,Palouse,A,17,36,1.23,5.73,2
768,CAF267,494019.9263,5180892.999,Palouse,A,12,30,1.29,5.37,2
774,CAF269,494083.7533,5180904.159,Thatuna,A,29,55,1.3,5.84,3
820,CAF287,493945.1571,5180931.744,Palouse,A,28,38,1.28,5.88,2
825,CAF289,494008.9652,5180924.235,Palouse,A,20,44,1.27,5.94,2
837,CAF293,494136.5834,5180910.774,Palouse,A,11,36,1.51,5.35,2
842,CAF298,493502.6076,5180966.544,Palouse,A,25,42,1.32,6.13,2
847,CAF300,493566.4152,5180959.474,Thatuna,A,14,34,1.22,5.56,2
852,CAF302,493631.4319,5180959.585,Palouse,A,15,37,1.2,5.7,2
873,CAF310,493885.5034,5180970.809,Thatuna,A,22,58,1.21,6.09,2
878,CAF312,493946.5799,5180965.797,Palouse,A,22,36,1.15,,2
888,CAF316,494076.9279,5180949.503,Thatuna,A,24,61,1.41,5.84,2
894,CAF324,493530.6382,5180981.404,Palouse,A,11,23,1.58,4.84,2
900,CAF326,493594.4582,5180986.002,Palouse,A,32,60,1.2,5.89,3
905,CAF328,493658.2713,5180984.157,Palouse,A,19,52,1.31,6.03,2
922,CAF334,493849.7054,5180973.401,Palouse,A,23,43,1.21,6.04,2
945,CAF351,493636.6355,5181024.739,Staley,A,13,32,1.37,5.13,2
977,CAF373,493635.3715,5181056.522,Thatuna,A,12,35,1.32,5.18,2
983,CAF375,493700.3841,5181054.144,Palouse,A,12.5,29,1.29,5.05,2
1013,CAF397,493690.2107,5181087.133,Palouse,A,9,24,1.42,,2
1020,CAF399,493754.006,5181069.176,Thatuna,A,18,38,1.29,5.29,2
1025,CAF401,493817.8362,5181084.778,Thatuna,A,12,25,1.53,5.26,2
1032,CAF419,493648.3558,5181104.302,Thatuna,A,23,43,1.3,5.31,3
1039,CAF421,493712.7748,5181114.814,Latah,A,10,42,1.33,,2
1052,CAF425,493841.5918,5181100.533,Caldwell,A,16,57,1.4,5.58,2
38,CAF017,493893.6615,5180586.206,Palouse,A1,15,33,1.37,5.13,2
80,CAF031,493628.3346,5180611.596,Palouse,A1,13,40,1.29,5.7,2
92,CAF035,493755.9527,5180592.46,Naff,A1,11,24,1.52,5.22,2
117,CAF043,493257.9566,5180626.446,Latah,A1,17,36,1.42,5.2,2
134,CAF049,493449.4233,5180635.68,Palouse,A1,24,45,1.21,6.12,2
189,CAF067,494023.7952,5180638.747,Thatuna,A1,15,32,1.27,5.13,2
196,CAF069,493296.5399,5180655.406,Thatuna,A1,17,30,1.44,4.95,2
216,CAF075,493488.0228,5180680.531,Thatuna,A1,18,31,1.23,5.56,2
229,CAF079,493615.6537,5180675.171,Thatuna,A1,10.5,35,1.19,5.11,2
242,CAF083,493743.2704,5180656.035,Palouse,A1,19,40,1.41,5.1,2
260,CAF089,493935.2029,5180676.141,Palouse,A1,13,32,1.41,5.57,2
266,CAF091,493998.5585,5180669.998,Naff,A1,22,37,1.21,6.16,2
272,CAF093,494062.3704,5180663.489,Thatuna,A1,18,34,1.31,5.46,2
307,CAF103,493531.3986,5180695.374,Thatuna,A1,14,30,1.25,5.16,2
353,CAF117,493978.1305,5180700.466,Naff,A1,21,35,1.16,5.99,2
373,CAF123,493337.2435,5180738.147,Latah,A1,18,41,1.32,4.99,2
396,CAF131,493592.5074,5180731.757,Thatuna,A1,16,30,1.23,5.54,2
408,CAF135,493720.1532,5180741.623,Palouse,A1,18,36,1.34,5.6,2
414,CAF137,493782.1431,5180736.366,Naff,A1,15,30,1.36,5.44,2
425,CAF141,493911.6096,5180745.093,Naff,A1,9,27,1.54,5.27,2
431,CAF143,493976.78,5180731.339,Naff,A1,21,42,1.44,5.79,2
488,CAF163,493797.585,5180766.989,Palouse,A1,15,34,1.29,5.15,2
498,CAF167,493925.2257,5180772.86,Palouse,A1,17,34,1.5,5.97,2
519,CAF175,493367.9983,5180799.119,Latah,A1,20,35,1.37,5.34,2
537,CAF181,493559.451,5180800.577,Thatuna,A1,15,27,1.45,5.37,2
933,CAF338,493977.9553,5180985.889,Thatuna,A1,16,21,1.41,4.95,2
939,CAF349,493572.819,5181023.029,Palouse,A1,13,34,1.39,5.18,2
955,CAF355,493764.2449,5181005.603,Palouse,A1,14,37,1.27,5.52,2
1045,CAF423,493780.1935,5181114.779,Latah,A1,10,32,1.51,5.5,2
39,CAF017,493893.6615,5180586.206,Palouse,A2,33,65,,5.95,3
81,CAF031,493628.3346,5180611.596,Palouse,A2,40,57,1.41,6.42,3
93,CAF035,493755.9527,5180592.46,Naff,A2,24,45,1.48,6.2,3
118,CAF043,493257.9566,5180626.446,Latah,A2,36,68,1.48,5.46,3
135,CAF049,493449.4233,5180635.68,Palouse,A2,45,71,1.27,6.34,3
190,CAF067,494023.7952,5180638.747,Thatuna,A2,32,59,1.3,5.71,3
197,CAF069,493296.5399,5180655.406,Thatuna,A2,30,48,1.41,5.34,3
217,CAF075,493488.0228,5180680.531,Thatuna,A2,31,54,1.09,6.22,3
230,CAF079,493615.6537,5180675.171,Thatuna,A2,35,52,1.2,6.17,3
243,CAF083,493743.2704,5180656.035,Palouse,A2,40,60,1.54,6.06,3
261,CAF089,493935.2029,5180676.141,Palouse,A2,32,48,1.33,6.2,3
267,CAF091,493998.5585,5180669.998,Naff,A2,37,55,1.29,6.61,3
273,CAF093,494062.3704,5180663.489,Thatuna,A2,34,54,1.3,5.93,3
308,CAF103,493531.3986,5180695.374,Thatuna,A2,30,59,1.18,5.18,3
354,CAF117,493978.1305,5180700.466,Naff,A2,35,61.5,1.31,6.29,3
374,CAF123,493337.2435,5180738.147,Latah,A2,41,72,1.15,5.52,3
397,CAF131,493592.5074,5180731.757,Thatuna,A2,30,57,1.25,6.05,3
409,CAF135,493720.1532,5180741.623,Palouse,A2,36,64,1.33,5.98,3
415,CAF137,493782.1431,5180736.366,Naff,A2,30,45,1.08,6.05,3
426,CAF141,493911.6096,5180745.093,Naff,A2,27,38,1.57,5.77,3
432,CAF143,493976.78,5180731.339,Naff,A2,42,61,1.55,6.09,3
489,CAF163,493797.585,5180766.989,Palouse,A2,34,72,1.24,6.04,3
499,CAF167,493925.2257,5180772.86,Palouse,A2,34,52,1.64,6.87,3
