,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
1,CAF003,493383.1071,5180586.081,,,,,0,,,
6,CAF005,493446.9111,5180572.12,,,,,0,,,
11,CAF007,493510.7264,5180568.273,,,,,0,,,
16,CAF009,493574.5508,5180572.871,,,,,0,,,
21,CAF011,493638.3683,5180571.025,,,,,0,,,
26,CAF013,493702.2,5180582.737,,,,,0,,,
31,CAF015,493797.9223,5180576.303,,,,,0,,,
37,CAF017,493893.6615,5180586.206,,,,,0,,,
48,CAF019,493246.5977,5180590.191,Latah,Btb3,127,147,20,1.67,6.38,7
49,CAF021,493309.2174,5180591.83,,,,,0,,,
55,CAF023,493371.4556,5180609.627,,,,,0,,,
61,CAF025,493436.8807,5180614.469,,,,,0,,,
67,CAF027,493502.3017,5180616.156,,,,,0,,,
73,CAF029,493564.5137,5180609.886,,,,,0,,,
79,CAF031,493628.3346,5180611.596,,,,,0,,,
85,CAF033,493692.1524,5180610.417,,,,,0,,,
97,CAF035,493755.9527,5180592.46,Naff,Btb,121,153,32,1.66,6.52,7
104,CAF037,493819.788,5180608.062,Latah,Btb,140,153,13,1.74,7.44,7
105,CAF039,493883.6204,5180621.22,,,,,0,,,
111,CAF041,493947.432,5180613.932,,,,,0,,,
116,CAF043,493257.9566,5180626.446,,,,,0,,,
122,CAF045,493323.2034,5180641.411,,,,,0,,,
128,CAF047,493385.6199,5180649.64,,,,,0,,,
139,CAF049,493449.4233,5180635.68,Palouse,Bwb,136,153,17,1.66,6.74,7
140,CAF051,493514.0376,5180631.032,,,,,0,,,
146,CAF053,493577.0617,5180636.431,,,,,0,,,
152,CAF055,493640.8785,5180634.585,,,,,0,,,
157,CAF057,493704.7095,5180646.296,,,,,0,,,
162,CAF059,493770.7974,5180636.942,,,,,0,,,
174,CAF061,493832.3237,5180623.828,Naff,Btb2,100,128,28,1.39,6.37,7
176,CAF063,493896.169,5180649.766,,,,,0,,,
182,CAF065,493959.9746,5180636.922,,,,,0,,,
194,CAF067,494023.7952,5180638.747,Thatuna,Btb2,126,153,27,1.65,6.16,7
201,CAF069,493296.5399,5180655.406,Thatuna,Btb2,133,153,20,1.79,5.66,7
202,CAF071,493360.3768,5180672.003,,,,,0,,,
214,CAF073,493421.8027,5180680.044,Staley,Bk2,135,153,18,,,7
221,CAF075,493488.0228,5180680.531,Thatuna,Btb2,132,152,20,1.56,6.76,7
222,CAF077,493551.8335,5180673.461,,,,,0,,,
234,CAF079,493615.6537,5180675.171,Thatuna,Btb,118,153,35,1.66,6.42,7
235,CAF081,493679.4708,5180673.992,,,,,0,,,
241,CAF083,493743.2704,5180656.035,,,,,0,,,
247,CAF085,493807.105,5180671.637,,,,,0,,,
253,CAF087,493870.9368,5180684.795,,,,,0,,,
259,CAF089,493935.2029,5180676.141,,,,,0,,,
265,CAF091,493998.5585,5180669.998,,,,,0,,,
271,CAF093,494062.3704,5180663.489,,,,,0,,,
283,CAF095,493276.7264,5180689.078,Latah,Btb1,121,141,20,1.63,6.76,7
291,CAF097,493339.9564,5180706.363,Thatuna,Btb3,135,151,16,1.72,5.64,7
298,CAF099,493403.7819,5180713.182,Staley,BC,125,141,16,1.3,7.29,7
300,CAF101,493467.5846,5180699.222,,,,,0,,,
312,CAF103,493531.3986,5180695.374,Thatuna,Btb2,128,153,25,1.66,6.58,7
319,CAF105,493595.2216,5180699.973,Thatuna,Btb2,133,153,20,1.65,6.15,7
326,CAF107,493659.0377,5180698.127,Thatuna,Btb3,135,153,18,1.66,6.85,7
327,CAF109,493725.5766,5180706.699,,,,,0,,,
339,CAF111,493786.6792,5180703.217,Naff,Btb2,132,153,21,1.69,6.49,7
340,CAF113,493851.8467,5180685.551,,,,,0,,,
346,CAF115,493915.6912,5180711.488,,,,,0,,,
352,CAF117,493978.1305,5180700.466,,,,,0,,,
364,CAF119,494044.2265,5180700.47,Naff,Btb3,120,153,33,1.78,6.53,7
